,,,,,,d=2,Ring,it=100 rep3
Function,single-best mean,single-best std,avg-best mean,avg-best std,all mean,all std,,
f1 Sphere,0.250251192,0.053961758,0.222766207,0.026193898,0.232338042,0.043181157,,
f2 Ellipsoid,0.023925038,0.026654521,0.016987076,0.018872722,0.018397627,0.022318405,,
f3 Rastrigin,0.100771713,0.028203305,0.100771713,0.028203305,0.09266988,0.021235556,,
f4 BuecheRastrigin,0.095126192,0.031321317,0.078065751,0.014530283,0.086191332,0.022569335,,
f5 LinearSlope,0.154947864,0.027248483,0.154947864,0.027248483,0.138275827,0.022559249,,
f6 AttractiveSector,0.138415927,0.023338919,0.138415927,0.023338919,0.131328195,0.029151541,,
f7 StepEllipsoid,0.190979987,0.046034643,0.178493665,0.042641561,0.183020455,0.038063288,,
f8 Rosenbrock,0.141753968,0.043219492,0.132951969,0.058473467,0.133634679,0.048008833,,
f9 RosenbrockRotated,0.163256228,0.038137328,0.163256228,0.038137328,0.141841819,0.047350177,,
f10 EllipsoidRotated,0.023598108,0.030379509,0.023598108,0.030379509,0.015423627,0.018338545,,
f11Discus,0.06,0.042164,0.06,0.042164,0.06,0.040056,,
f12 BentCigar,0.016242683,0.01303112,0.014370457,0.01254528,0.013467647,0.012644898,,
f13 SharpRidge,0.072189657,0.024706869,0.069427611,0.026014497,0.062234105,0.027399249,,
f14 DifferentPowers,0.24337091,0.037195137,0.238132392,0.036697494,0.238247313,0.034458955,,
f15 RastriginRotated,0.106942148,0.031425607,0.104217889,0.033536689,0.100361837,0.024128805,,
f16 Weierstrass,0.167806412,0.055167384,0.147202745,0.031577884,0.157289421,0.038312386,,
f17 Schaffers10,0.172571249,0.015944037,0.17068562,0.015022917,0.166893638,0.017193937,,
f18 Schaffers1000,0.122862438,0.018920224,0.120685076,0.021386746,0.110720434,0.022940719,,
f19 GriewankRosenbrock,0.236699291,0.054115601,0.230779117,0.059609682,0.219059753,0.047481384,,
f20 Schwefel,0.147913165,0.017726392,0.140831727,0.024927417,0.143868108,0.020073627,,
f21 Gallagher101,0.230969118,0.05803736,0.221495337,0.038857046,0.219037465,0.045124555,,
f22 Gallagher21,0.226027272,0.066080962,0.21852711,0.060112586,0.219484633,0.060342831,,
f23 Katsuura,0.148711841,0.022234745,0.140023462,0.024909293,0.141851832,0.021082244,,
f24 LunacekBiRastrigin,0.122602464,0.016014795,0.114156444,0.013303366,0.117474807,0.012948743,,
