,,,,,,d=2,Star,it=100 rep3
Function,single-best mean,single-best std,avg-best mean,avg-best std,all mean,all std,,
f1 Sphere,0.250251192,0.053961758,0.222766207,0.026193898,0.233910097,0.041831079,,
f2 Ellipsoid,0.023465864,0.023186024,0.016987076,0.018872722,0.018631593,0.022303174,,
f3 Rastrigin,0.100771713,0.028203305,0.100771713,0.028203305,0.093245054,0.020895622,,
f4 BuecheRastrigin,0.096219238,0.029885837,0.078065751,0.014530283,0.086848231,0.02232838,,
f5 LinearSlope,0.154947864,0.027248483,0.154947864,0.027248483,0.136994906,0.023295698,,
f6 AttractiveSector,0.141027612,0.034888599,0.138415927,0.023338919,0.133049511,0.028454904,,
f7 StepEllipsoid,0.191565601,0.031591436,0.178493665,0.042641561,0.184419581,0.038130398,,
f8 Rosenbrock,0.145639683,0.04304793,0.132951969,0.058473467,0.134470195,0.048206905,,
f9 RosenbrockRotated,0.163256228,0.038137328,0.163256228,0.038137328,0.143382102,0.047396429,,
f10 EllipsoidRotated,0.023598108,0.030379509,0.023598108,0.030379509,0.015959415,0.018546364,,
f11Discus,0.06,0.042164,0.06,0.042164,0.06,0.040056,,
f12 BentCigar,0.017315809,0.017773514,0.015330663,0.012767673,0.01353137,0.013111788,,
f13 SharpRidge,0.072664058,0.023661922,0.067600925,0.023334099,0.062730465,0.027232266,,
f14 DifferentPowers,0.250632201,0.033531123,0.246689835,0.033971029,0.239584335,0.033864935,,
f15 RastriginRotated,0.1091346,0.030200655,0.105030342,0.032994993,0.100656204,0.023989155,,
f16 Weierstrass,0.167806412,0.055167384,0.14818023,0.031733817,0.157643544,0.038600564,,
f17 Schaffers10,0.174098918,0.013191701,0.174098918,0.013191701,0.167675694,0.01735966,,
f18 Schaffers1000,0.12520109,0.02165746,0.124509547,0.015542386,0.111289574,0.0226669,,
f19 GriewankRosenbrock,0.245032939,0.059003121,0.23361223,0.055906566,0.22121139,0.047122289,,
f20 Schwefel,0.147913165,0.017726392,0.141475606,0.023272132,0.144388724,0.019758754,,
f21 Gallagher101,0.237446464,0.065941493,0.221728375,0.039991925,0.221053289,0.047616567,,
f22 Gallagher21,0.236658999,0.079102816,0.236658999,0.079102816,0.219553956,0.057777536,,
f23 Katsuura,0.148711841,0.022234745,0.139330628,0.025674472,0.141301219,0.021340585,,
f24 LunacekBiRastrigin,0.122602464,0.016014795,0.113649625,0.012591695,0.117990828,0.117990828,,
